Time ((min)),Degree of Cure [z = 49.990 mm: Degree of Cure],Degree of Cure [z = 49.521 mm: Degree of Cure 1],Degree of Cure [z = 48.125 mm: Degree of Cure 2],Degree of Cure [z = 46.250 mm: Degree of Cure 3],Degree of Cure [z = 44.375 mm: Degree of Cure 4],Degree of Cure [z = 42.500 mm: Degree of Cure 5],Degree of Cure [z = 40.625 mm: Degree of Cure 6],Degree of Cure [z = 38.750 mm: Degree of Cure 7],Degree of Cure [z = 36.875 mm: Degree of Cure 8],Degree of Cure [z = 35.000 mm: Degree of Cure 9],Degree of Cure [z = 33.125 mm: Degree of Cure 10],Degree of Cure [z = 31.250 mm: Degree of Cure 11],Degree of Cure [z = 29.375 mm: Degree of Cure 12],Degree of Cure [z = 27.500 mm: Degree of Cure 13],Degree of Cure [z = 25.625 mm: Degree of Cure 14],Degree of Cure [z = 23.750 mm: Degree of Cure 15],Degree of Cure [z = 21.875 mm: Degree of Cure 16],Degree of Cure [z = 20.479 mm: Degree of Cure 17],Degree of Cure [z = 20.010 mm: Degree of Cure 18]
15.6023375,0.050059839,0.050045346,0.050031136,0.050017887,0.050009919,0.050005456,0.05000308,0.050001833,0.050001168,0.050000803,0.050000596,0.050000476,0.050000408,0.050000374,0.050000366,0.050000381,0.050000423,0.050000473,0.050000495
15.8557342,0.050064966,0.050049519,0.050034302,0.05001997,0.050011206,0.05000621,0.050003513,0.050002087,0.050001324,0.050000905,0.050000668,0.050000531,0.050000453,0.050000414,0.050000404,0.050000421,0.050000467,0.050000523,0.050000548
16.1111567,0.050070425,0.050053976,0.050037705,0.050022239,0.050012632,0.050007058,0.050004006,0.050002377,0.050001503,0.050001022,0.05000075,0.050000593,0.050000504,0.05000046,0.050000448,0.050000466,0.050000517,0.05000058,0.050000608
16.321306,0.050075155,0.050057847,0.050040678,0.050024246,0.050013913,0.050007832,0.050004461,0.050002646,0.050001668,0.05000113,0.050000826,0.050000651,0.050000551,0.050000501,0.050000488,0.050000507,0.050000563,0.050000632,0.050000662
16.5772777,0.050081204,0.050062808,0.050044505,0.050026856,0.050015604,0.05000887,0.050005077,0.050003013,0.050001895,0.050001279,0.05000093,0.050000729,0.050000616,0.050000558,0.050000542,0.050000563,0.050000625,0.050000702,0.050000736
16.8134245,0.050087087,0.050067643,0.05004825,0.050029439,0.050017303,0.050009929,0.050005714,0.050003396,0.050002133,0.050001434,0.050001038,0.050000811,0.050000682,0.050000617,0.050000598,0.050000621,0.050000689,0.050000775,0.050000813
17.043847,0.05009311,0.0500726,0.050052105,0.05003212,0.050019091,0.050011061,0.050006404,0.050003814,0.050002392,0.050001604,0.050001157,0.050000901,0.050000755,0.050000681,0.050000659,0.050000683,0.050000759,0.050000854,0.050000896
17.3120712,0.050100493,0.050078684,0.050056852,0.050035451,0.050021343,0.050012509,0.050007299,0.050004362,0.050002735,0.050001829,0.050001315,0.050001019,0.050000851,0.050000765,0.050000739,0.050000766,0.050000851,0.050000958,0.050001005
17.564893,0.050107837,0.050084744,0.050061594,0.050038806,0.050023641,0.050014011,0.050008242,0.050004945,0.050003102,0.05000207,0.050001483,0.050001146,0.050000954,0.050000855,0.050000825,0.050000854,0.050000948,0.050001068,0.050001121
17.7786147,0.050114337,0.050090112,0.050065805,0.050041803,0.050025716,0.050015386,0.050009117,0.050005492,0.050003449,0.050002299,0.050001643,0.050001266,0.050001051,0.05000094,0.050000905,0.050000937,0.05000104,0.050001172,0.05000123
18.0320115,0.050122424,0.050096796,0.050071057,0.050045564,0.050028346,0.050017154,0.050010258,0.050006213,0.050003909,0.050002603,0.050001857,0.050001426,0.050001181,0.050001054,0.050001013,0.050001047,0.050001162,0.050001309,0.050001375
18.2447615,0.050129528,0.050102669,0.050075681,0.050048891,0.050030693,0.050018751,0.050011303,0.050006882,0.050004338,0.050002889,0.050002057,0.050001576,0.050001302,0.05000116,0.050001113,0.05000115,0.050001276,0.050001438,0.05000151
18.4975832,0.05013838,0.050109992,0.050081454,0.050053063,0.050033662,0.050020796,0.05001266,0.05000776,0.050004908,0.050003269,0.050002325,0.050001777,0.050001465,0.050001302,0.050001247,0.050001287,0.050001428,0.050001609,0.05000169
18.753555,0.050147793,0.050117781,0.050087602,0.050057525,0.050036863,0.050023027,0.050014162,0.050008745,0.050005553,0.050003703,0.050002631,0.050002007,0.05000165,0.050001464,0.0500014,0.050001443,0.050001601,0.050001804,0.050001894
18.9647017,0.05015593,0.050124517,0.050092924,0.050061401,0.050039661,0.050025,0.050015507,0.050009639,0.050006144,0.050004103,0.050002914,0.05000222,0.050001822,0.050001614,0.050001542,0.050001588,0.05000176,0.050001983,0.050002083
19.2201242,0.05016622,0.050133036,0.05009966,0.050066319,0.050043234,0.050027542,0.050017262,0.050010819,0.050006933,0.05000464,0.050003295,0.050002507,0.050002055,0.050001817,0.050001733,0.050001782,0.050001975,0.050002224,0.050002336
19.4555235,0.050176173,0.050141276,0.050106181,0.050071093,0.050046723,0.050030048,0.050019013,0.050012012,0.050007739,0.050005193,0.05000369,0.050002806,0.050002296,0.050002027,0.050001931,0.050001985,0.050002198,0.050002474,0.050002597
